List,Sell Price,Cost Price,COM Tiktok,COM Payment,Commission,Profit,Profit%
TQ-77,948.00,755.00,891.12,873.30,18.96,99.34,13.16
CG-60,199.00,160.00,187.06,183.32,3.98,19.34,12.09
